product_id,name,description,price,category,image_url
1,Classic White T-Shirt,"A comfortable and stylish white T-shirt made of 100% cotton.",19.99,Clothing,https://via.placeholder.com/150/ffffff/000000?text=T-Shirt
2,Summer Floral Dress,"A breezy dress featuring vibrant floral prints perfect for summer outings.",49.99,Clothing,https://via.placeholder.com/150/fff0f5/000000?text=Floral+Dress
3,Denim Jeans,"Classic blue denim jeans with a modern fit and durable fabric.",59.99,Clothing,https://via.placeholder.com/150/0000ff/ffffff?text=Jeans
4,Sporty Sneakers,"Lightweight sneakers designed for both comfort and style.",79.99,Shoes,https://via.placeholder.com/150/000000/ffffff?text=Sneakers
5,Leather Wallet,"A premium leather wallet with multiple card slots and a sleek design.",29.99,Accessories,https://via.placeholder.com/150/654321/ffffff?text=Wallet
6,Wireless Earbuds,"Experience high-quality sound with these sleek, noise-cancelling earbuds.",99.99,Electronics,https://via.placeholder.com/150/87ceeb/000000?text=Earbuds
7,Smartphone,"A cutting-edge smartphone with an incredible camera and fast performance.",699.99,Electronics,https://via.placeholder.com/150/ff0000/ffffff?text=Smartphone
8,Tablet,"A lightweight tablet perfect for reading, streaming, and web browsing.",299.99,Electronics,https://via.placeholder.com/150/008000/ffffff?text=Tablet
9,Running Shorts,"Breathable running shorts with moisture-wicking fabric for maximum comfort.",24.99,Clothing,https://via.placeholder.com/150/c0c0c0/000000?text=Shorts
10,Formal Watch,"An elegant watch with a stainless steel band and waterproof design.",149.99,Accessories,https://via.placeholder.com/150/ff69b4/000000?text=Watch
11,Laptop,"A powerful laptop suitable for gaming, work, and everything in between.",999.99,Electronics,https://via.placeholder.com/150/00008b/ffffff?text=Laptop
12,Noise-Cancelling Headphones,"Block out the world with these comfortable, over-ear noise-cancelling headphones.",199.99,Electronics,https://via.placeholder.com/150/ffff00/000000?text=Headphones
13,Casual Hoodie,"A cozy and stylish hoodie perfect for everyday wear.",39.99,Clothing,https://via.placeholder.com/150/808080/ffffff?text=Hoodie
14,Sneaker Boots,"A versatile pair of boots that combine the comfort of sneakers with modern style.",89.99,Shoes,https://via.placeholder.com/150/000000/ffffff?text=Boots
15,Designer Sunglasses,"Sleek sunglasses that provide 100% UV protection with a designer touch.",59.99,Accessories,https://via.placeholder.com/150/000000/ffffff?text=Sunglasses
16,Leather Belt,"A durable leather belt that perfectly complements any outfit.",19.99,Accessories,https://via.placeholder.com/150/8b4513/ffffff?text=Belt
17,Running Cap,"A lightweight cap designed to keep you cool during workouts.",14.99,Accessories,https://via.placeholder.com/150/ffdead/000000?text=Cap
18,Sports Jacket,"A high-performance jacket designed for outdoor activities.",79.99,Clothing,https://via.placeholder.com/150/2f4f4f/ffffff?text=Jacket
19,Digital Camera,"Capture high-quality photos with this advanced digital camera.",349.99,Electronics,https://via.placeholder.com/150/000000/ffffff?text=Camera
20,Bluetooth Speaker,"Portable speaker with excellent sound quality and long battery life.",129.99,Electronics,https://via.placeholder.com/150/4682b4/ffffff?text=Speaker
21,Smartwatch,"A smartwatch that tracks your fitness and keeps you connected.",199.99,Electronics,https://via.placeholder.com/150/ff6347/ffffff?text=Smartwatch
22,Gaming Console,"Experience immersive gaming with the latest generation console.",399.99,Electronics,https://via.placeholder.com/150/000000/ffffff?text=Console
23,Office Chair,"Ergonomically designed office chair with lumbar support.",149.99,Home,https://via.placeholder.com/150/696969/ffffff?text=Chair
24,Coffee Maker,"Brew the perfect cup every time with this state-of-the-art coffee maker.",89.99,Home,https://via.placeholder.com/150/8b0000/ffffff?text=Coffee+Maker
25,Microwave Oven,"A compact microwave oven perfect for quick meals.",99.99,Home,https://via.placeholder.com/150/ffa500/000000?text=Microwave
26,Vacuum Cleaner,"A powerful vacuum cleaner that leaves your home spotless.",149.99,Home,https://via.placeholder.com/150/708090/ffffff?text=Vacuum
27,Electric Kettle,"Boil water quickly and efficiently with this sleek electric kettle.",39.99,Home,https://via.placeholder.com/150/87cefa/000000?text=Kettle
28,Yoga Mat,"A non-slip yoga mat designed for comfort and stability during workouts.",29.99,Sports,https://via.placeholder.com/150/3cb371/ffffff?text=Yoga+Mat
29,Dumbbell Set,"A versatile dumbbell set for strength training at home.",79.99,Sports,https://via.placeholder.com/150/ff4500/ffffff?text=Dumbbells
30,Treadmill,"A compact treadmill with multiple speed settings for home workouts.",499.99,Sports,https://via.placeholder.com/150/2e8b57/ffffff?text=Treadmill
31,Fitness Tracker,"Track your daily activity and sleep patterns with this smart fitness tracker.",49.99,Electronics,https://via.placeholder.com/150/ff1493/ffffff?text=Tracker
32,Backpack,"A durable backpack with multiple compartments for all your essentials.",39.99,Accessories,https://via.placeholder.com/150/00008b/ffffff?text=Backpack
33,Leather Boots,"Premium leather boots designed for both fashion and function.",129.99,Shoes,https://via.placeholder.com/150/8b4513/ffffff?text=Leather+Boots
34,Evening Gown,"An elegant evening gown perfect for formal occasions.",199.99,Clothing,https://via.placeholder.com/150/dda0dd/000000?text=Gown
35,Winter Coat,"Stay warm in style with this insulated winter coat.",149.99,Clothing,https://via.placeholder.com/150/4682b4/ffffff?text=Coat
36,Sun Hat,"A stylish sun hat that offers excellent UV protection.",24.99,Accessories,https://via.placeholder.com/150/ffd700/000000?text=Hat
37,Running Shoes,"High-performance running shoes designed for optimal comfort.",89.99,Shoes,https://via.placeholder.com/150/000000/ffffff?text=Running+Shoes
38,Office Desk,"A modern office desk with ample workspace and storage.",249.99,Home,https://via.placeholder.com/150/708090/ffffff?text=Desk
39,Wireless Mouse,"A smooth, responsive wireless mouse for everyday use.",29.99,Electronics,https://via.placeholder.com/150/0000cd/ffffff?text=Mouse
